t,,h
2.50025,,-0.540452
2.50375,,-2.30864
2.50725,,4.68092
2.51076,,-4.86373
2.51426,,-7.47611
2.51776,,4.61608
2.52126,,2.26108
2.52476,,10.4579
2.52826,,14.2997
2.53177,,-10.0491
2.53527,,8.58197
2.53877,,18.6639
2.54227,,3.61395
2.54577,,8.65276
2.54927,,13.4875
2.55278,,58.5124
2.55628,,5.08406
2.55978,,1.98953
2.56328,,11.0826
2.56678,,33.3355
2.57029,,2.53041
2.57379,,10.7267
2.57729,,-2.99327
2.58079,,18.1479
2.58429,,31.3347
2.58779,,31.1806
2.5913,,5.01544
2.5948,,102.425
2.5983,,-2.04278
2.6018,,26.5652
2.6053,,33.1019
2.6088,,24.5352
2.61231,,-50.6874
2.61581,,19.3458
2.61931,,54.4318
2.62281,,-14.3545
2.62631,,15.0394
2.62981,,28.4323
2.63332,,23.6538
2.63682,,35.1227
2.64032,,75.9822
2.64382,,-30.5376
2.64732,,65.1235
2.65083,,8.93071
2.65433,,53.9837
2.65783,,37.0659
2.66133,,40.3747
2.66483,,57.6205
2.66833,,75.6973
2.67184,,66.7309
2.67534,,77.8226
2.67884,,11.5956
2.68234,,23.021
2.68584,,36.8155
2.68934,,119.08
2.69285,,-11.5666
2.69635,,43.039
2.69985,,42.929
2.70335,,8.67708
2.70685,,46.0743
2.71036,,73.8296
2.71386,,23.6254
2.71736,,38.816
2.72086,,13.4413
2.72436,,-4.69308
2.72786,,28.6269
2.73137,,17.6087
2.73487,,-18.6071
2.73837,,47.1552
2.74187,,30.3424
2.74537,,25.1402
2.74887,,-46.038
2.75238,,56.5368
2.75588,,28.975
2.75938,,-2.32303
2.76288,,62.1639
2.76638,,40.0219
2.76988,,34.5291
2.77339,,-22.5535
2.77689,,24.7801
2.78039,,-29.3533
2.78389,,-1.98143
2.78739,,7.82338
2.7909,,10.4518
2.7944,,27.7429
2.7979,,49.7875
2.8014,,19.0649
2.8049,,-1.86863
2.8084,,9.23217
2.81191,,5.95446
2.81541,,-1.20424
2.81891,,7.53438
2.82241,,-1.53759
2.82591,,-1.83016
2.82941,,6.65343
2.83292,,-3.76886
2.83642,,4.67112
2.83992,,1.54841
2.84342,,7.14602
2.84692,,-1.93411
2.85043,,-22.442
2.85393,,-10.2705
2.85743,,-4.893
2.86093,,-16.3294
2.86443,,17.5044
2.86793,,-44.4379
2.87144,,2.88105
2.87494,,-81.9273
2.87844,,-38.3336
2.88194,,0.397093
2.88544,,-36.6411
2.88894,,-38.7851
2.89245,,2.51438
2.89595,,12.5029
2.89945,,5.41944
2.90295,,-7.69891
2.90645,,-85.4338
2.90995,,-11.4071
2.91346,,-85.3669
2.91696,,-47.9211
2.92046,,-46.3551
2.92396,,-54.6615
2.92746,,-36.045
2.93097,,-55.3907
2.93447,,-37.4046
2.93797,,-49.4603
2.94147,,-73.367
2.94497,,-51.4532
2.94847,,-109.322
2.95198,,-5.10154
2.95548,,-103.152
2.95898,,-58.7888
2.96248,,-114.305
2.96598,,-78.0166
2.96948,,-42.0676
2.97299,,-117.397
2.97649,,-14.252
2.97999,,31.5447
2.98349,,-43.6076
2.98699,,-99.7585
2.9905,,-31.1288
2.994,,-57.6626
2.9975,,-73.7787
3.001,,-89.3964
3.0045,,-56.0691
3.008,,-15.8094
3.01151,,-134.758
3.01501,,-134.974
3.01851,,55.4852
3.02201,,-27.602
3.02551,,-184.832
3.02901,,-129.278
3.03252,,-34.2393
3.03602,,-68.8929
3.03952,,-61.2705
3.04302,,-47.9559
3.04652,,-30.2313
3.05003,,18.0197
3.05353,,-7.26271
3.05703,,-22.9106
3.06053,,-4.37861
3.06403,,-5.54678
3.06753,,18.3833
3.07104,,-111.655
3.07454,,-36.1013
3.07804,,-15.9528
3.08154,,-38.043
3.08504,,-78.6635
3.08854,,-41.9363
3.09205,,-7.07119
3.09555,,-72.5294
3.09905,,-36.8726
3.10255,,-41.4508
3.10605,,-30.886
3.10955,,26.1355
3.11306,,-28.4569
3.11656,,-30.1677
3.12006,,-20.5527
3.12356,,-16.3503
3.12706,,-20.8099
3.13057,,-0.256132
3.13407,,-3.44944
3.13757,,-3.2198
3.14107,,2.65584
3.14457,,3.59504
3.14807,,-0.981835
3.15158,,11.1528
3.15508,,4.41144
3.15858,,9.62227
3.16208,,-1.06624
3.16558,,1.59628
3.16908,,18.0512
3.17259,,63.3338
3.17609,,23.7317
3.17959,,27.9107
3.18309,,67.4965
3.18659,,-3.95495
3.1901,,36.4742
3.1936,,-2.76493
3.1971,,56.1254
3.2006,,71.8963
3.2041,,109.257
3.2076,,73.2784
3.21111,,42.577
3.21461,,63.0872
3.21811,,-61.3268
3.22161,,5.59302
3.22511,,99.8969
3.22861,,137.831
3.23212,,50.1038
3.23562,,-42.2126
3.23912,,1.95102
3.24262,,79.6035
3.24612,,102.739
3.24962,,69.9085
3.25313,,9.02132
3.25663,,178.331
3.26013,,74.4772
3.26363,,35.6498
3.26713,,-2.49717
3.27064,,-3.76236
3.27414,,84.3639
3.27764,,37.1362
3.28114,,94.9941
3.28464,,48.1792
3.28814,,62.627
3.29165,,-40.63
3.29515,,145.004
3.29865,,31.1963
3.30215,,-50.4902
3.30565,,48.0588
3.30915,,51.1656
3.31266,,-1.03228
3.31616,,41.7429
3.31966,,53.6243
3.32316,,209.76
3.32666,,113.769
3.33017,,89.3487
3.33367,,121.991
3.33717,,87.6302
3.34067,,64.3874
3.34417,,6.15746
3.34767,,206.152
3.35118,,220.444
3.35468,,167.214
3.35818,,136.727
3.36168,,96.7592
3.36518,,32.4489
3.36868,,44.4336
3.37219,,19.0228
3.37569,,61.1302
3.37919,,0.774592
3.38269,,56.7717
3.38619,,113.919
3.38969,,67.5624
3.3932,,71.6583
3.3967,,66.0455
3.4002,,31.6712
3.4037,,0.0805832
3.4072,,64.1423
3.41071,,54.8033
3.41421,,87.7774
3.41771,,15.3183
3.42121,,49.4021
3.42471,,48.6223
3.42821,,-2.03268
3.43172,,55.6774
3.43522,,-11.0191
3.43872,,12.0518
3.44222,,17.883
3.44572,,15.7578
3.44922,,6.37004
3.45273,,5.68193
3.45623,,0.0648882
3.45973,,-2.1092
3.46323,,-13.8224
3.46673,,-10.5087
3.47024,,-10.0452
3.47374,,-25.2756
3.47724,,-18.941
3.48074,,1.88168
3.48424,,-18.7584
3.48774,,-51.3019
3.49125,,-34.877
3.49475,,17.8341
3.49825,,-68.2735
3.50175,,-36.2393
3.50525,,-14.6429
3.50875,,-75.2982
3.51226,,-26.8814
3.51576,,4.62702
3.51926,,-41.8384
3.52276,,-95.544
3.52626,,-117.285
3.52976,,-112.644
3.53327,,-150.459
3.53677,,-54.9238
3.54027,,-71.6131
3.54377,,9.24849
3.54727,,-144.399
3.55078,,-77.9771
3.55428,,-82.3145
3.55778,,-0.540796
3.56128,,-171.711
3.56478,,-151.197
3.56828,,-49.0783
3.57179,,-108.365
3.57529,,-74.6538
3.57879,,-108.788
3.58229,,21.4592
3.58579,,-7.39858
3.58929,,-28.6062
3.5928,,-124.899
3.5963,,16.9585
3.5998,,-118.29
3.6033,,6.66644
3.6068,,-98.5688
3.61031,,-112.958
3.61381,,-52.1321
3.61731,,-11.1878
3.62081,,-18.2229
3.62431,,-27.0709
3.62781,,-157.709
3.63132,,-19.5887
3.63482,,-178.79
3.63832,,22.381
3.64182,,-56.1865
3.64532,,-47.9708
3.64882,,-93.8111
3.65233,,-10.4108
3.65583,,-65.3163
3.65933,,-147.722
3.66283,,27.0978
3.66633,,-59.804
3.66983,,-77.3253
3.67334,,72.1096
3.67684,,-105.171
3.68034,,62.8559
3.68384,,-50.8875
3.68734,,-19.1121
3.69085,,-49.6071
3.69435,,-133.116
3.69785,,-36.4977
3.70135,,-162.264
3.70485,,-45.1205
3.70835,,-8.6447
3.71186,,-171.906
3.71536,,-120.29
3.71886,,-64.1184
3.72236,,-27.8583
3.72586,,-4.18179
3.72936,,-59.5371
3.73287,,-12.1361
3.73637,,29.0336
3.73987,,-27.6075
3.74337,,-30.4384
3.74687,,-27.1697
3.75038,,-41.1398
3.75388,,-15.9688
3.75738,,8.90186
3.76088,,-0.150196
3.76438,,-7.67728
3.76788,,4.29934
3.77139,,8.25601
3.77489,,10.1668
3.77839,,8.05162
3.78189,,37.0537
3.78539,,21.1233
3.78889,,22.1236
3.7924,,37.1945
3.7959,,-16.5471
3.7994,,27.4008
3.8029,,36.756
3.8064,,45.5724
3.8099,,30.0721
3.81341,,18.2681
3.81691,,55.6957
3.82041,,42.1073
3.82391,,109.991
3.82741,,-0.080873
3.83092,,109.811
3.83442,,-72.4779
3.83792,,60.9434
3.84142,,87.9341
3.84492,,50.9515
3.84842,,93.6841
3.85193,,-2.85959
3.85543,,70.3382
3.85893,,45.9275
3.86243,,46.1271
3.86593,,102.741
3.86943,,-0.657817
3.87294,,81.8753
3.87644,,-11.3574
3.87994,,60.3991
3.88344,,182.864
3.88694,,56.584
3.89045,,82.3556
3.89395,,102.25
3.89745,,50.5558
3.90095,,-24.4798
3.90445,,14.1419
3.90795,,-28.6589
3.91146,,147.887
3.91496,,138.346
3.91846,,157.183
3.92196,,-43.0675
3.92546,,85.0215
3.92896,,162.757
3.93247,,-54.4981
3.93597,,81.6405
3.93947,,154.277
3.94297,,36.9533
3.94647,,66.5535
3.94997,,85.6159
3.95348,,19.9979
3.95698,,70.809
3.96048,,84.4256
3.96398,,84.4426
3.96748,,200.536
3.97099,,25.1068
3.97449,,32.909
3.97799,,-31.3627
3.98149,,113.666
3.98499,,-52.1399
3.98849,,117.724
3.992,,46.707
3.9955,,21.1433
3.999,,55.37
4.0025,,77.4267
4.006,,40.3879
4.0095,,-30.54
4.01301,,28.3836
4.01651,,59.8856
4.02001,,62.5288
4.02351,,25.5052
4.02701,,-17.7855
4.03052,,57.2367
4.03402,,-11.9079
4.03752,,29.1495
4.04102,,21.9391
4.04452,,46.5325
4.04802,,6.34631
4.05153,,13.5674
4.05503,,29.8668
4.05853,,10.6827
4.06203,,25.7159
4.06553,,-4.88611
4.06903,,8.92089
